TimeStep,Time,"Points:0","Points:1","Points:2","WaterHeight"
23,53,0.046287,7.75,-0.00053265,-0.00053265
23,53,0,7.75,-0.00046545,-0.00046545
23,53,0.047151,7.7029,-0.00052216,-0.00052216
23,53,-3.4707e-27,7.7038,-0.00044079,-0.00044079
23,53,0,-7.5587,-0.00043789,-0.00043789
23,53,0.048138,-7.5563,-0.00052123,-0.00052123
23,53,0,-7.5076,-0.0004384,-0.0004384
23,53,0.048264,-7.5055,-0.00052022,-0.00052022
23,53,6.1565e-25,7.6569,-0.00043734,-0.00043734
23,53,0.0476,7.6552,-0.00052326,-0.00052326
23,53,-8.9271e-27,7.6085,-0.00043755,-0.00043755
23,53,0.047916,7.6063,-0.00052245,-0.00052245
23,53,3.4218e-29,7.5587,-0.00043791,-0.00043791
23,53,0.048138,7.5563,-0.00052112,-0.00052112
23,53,-1.0335e-35,7.4559,-0.00043906,-0.00043906
23,53,0.04833,7.4543,-0.00051964,-0.00051964
23,53,-6.9912e-33,7.5076,-0.00043839,-0.00043839
23,53,0.048264,7.5055,-0.00052015,-0.00052015
23,53,-8.9214e-40,7.4042,-0.00043969,-0.00043969
23,53,0.048376,7.4031,-0.0005194,-0.0005194
23,53,8.9683e-44,7.3527,-0.00044018,-0.00044018
23,53,0.048421,7.352,-0.00051927,-0.00051927
23,53,4.2039e-45,7.3016,-0.00044043,-0.00044043
23,53,0.048467,7.3012,-0.00051918,-0.00051918
23,53,0,7.2508,-0.00044048,-0.00044048
23,53,0.048506,7.2507,-0.00051903,-0.00051903
23,53,0,7.2004,-0.00044041,-0.00044041
23,53,0.048535,7.2004,-0.00051888,-0.00051888
23,53,0,7.1502,-0.00044028,-0.00044028
23,53,0.048553,7.1502,-0.00051878,-0.00051878
23,53,0,7.1001,-0.00044014,-0.00044014
23,53,0.048564,7.1001,-0.0005187,-0.0005187
23,53,0.048571,7.05,-0.00051863,-0.00051863
23,53,0,7.05,-0.00044002,-0.00044002
23,53,0,7,-0.00043993,-0.00043993
23,53,0.048574,7,-0.00051861,-0.00051861
23,53,0.048575,6.95,-0.00051859,-0.00051859
23,53,0,6.95,-0.00043987,-0.00043987
23,53,0.048576,6.9,-0.00051857,-0.00051857
23,53,0,6.9,-0.00043981,-0.00043981
23,53,0.048577,6.85,-0.00051859,-0.00051859
23,53,0,6.85,-0.00043979,-0.00043979
23,53,0,6.8,-0.00043977,-0.00043977
23,53,0.048577,6.8,-0.00051858,-0.00051858
23,53,0,6.75,-0.00043973,-0.00043973
23,53,0.048577,6.75,-0.00051854,-0.00051854
23,53,0,6.7,-0.00043979,-0.00043979
23,53,0.048577,6.7,-0.0005185,-0.0005185
23,53,0.048577,6.65,-0.00051846,-0.00051846
23,53,0,6.65,-0.00043969,-0.00043969
23,53,0.048577,6.6,-0.0005184,-0.0005184
23,53,0,6.6,-0.00043975,-0.00043975
23,53,0,6.55,-0.00043973,-0.00043973
23,53,0.048577,6.55,-0.00051838,-0.00051838
23,53,0,6.5,-0.00043973,-0.00043973
23,53,0.048577,6.5,-0.00051837,-0.00051837
23,53,0.048577,6.45,-0.00051839,-0.00051839
23,53,0,6.45,-0.00043973,-0.00043973
23,53,0,6.4,-0.00043972,-0.00043972
23,53,0.048577,6.4,-0.00051837,-0.00051837
23,53,0,6.35,-0.00043972,-0.00043972
23,53,0.048577,6.35,-0.00051828,-0.00051828
23,53,0.09338,7.75,-0.00060429,-0.00060429
23,53,0.094943,7.7024,-0.00059842,-0.00059842
23,53,15,7.7038,-2.7486e-06,-2.7486e-06
23,53,15,7.75,7.1671e-07,7.1671e-07
23,53,14.953,7.7029,4.3409e-06,4.3409e-06
23,53,14.954,7.75,-9.4016e-06,-9.4016e-06
23,53,0.14387,7.7021,-0.0006756,-0.0006756
23,53,0.14182,7.75,-0.00068322,-0.00068322
23,53,14.907,7.75,-5.2461e-06,-5.2461e-06
23,53,14.905,7.7024,3.6625e-06,3.6625e-06
23,53,0.19172,7.75,-0.00077601,-0.00077601
23,53,0.19391,7.7018,-0.00076543,-0.00076543
23,53,0.24276,7.75,-0.00087264,-0.00087264
23,53,0.24475,7.7017,-0.00086219,-0.00086219
23,53,14.858,7.75,-4.8599e-06,-4.8599e-06
23,53,14.856,7.7021,2.7601e-06,2.7601e-06
23,53,14.808,7.75,-3.4885e-06,-3.4885e-06
23,53,14.806,7.7018,4.0596e-06,4.0596e-06
23,53,14.757,7.75,-2.1965e-06,-2.1965e-06
23,53,14.755,7.7017,5.4304e-06,5.4304e-06
23,53,14.706,7.75,-7.9206e-08,-7.9206e-08
23,53,14.704,7.7016,7.334e-06,7.334e-06
23,53,14.654,7.75,2.5723e-06,2.5723e-06
23,53,14.653,7.7016,9.6661e-06,9.6661e-06
23,53,14.602,7.75,5.6249e-06,5.6249e-06
23,53,14.602,7.7015,1.241e-05,1.241e-05
23,53,14.551,7.75,9.2389e-06,9.2389e-06
23,53,14.551,7.7015,1.5696e-05,1.5696e-05
23,53,14.501,7.75,1.325e-05,1.325e-05
23,53,14.501,7.7014,1.9411e-05,1.9411e-05
23,53,14.45,7.75,1.7615e-05,1.7615e-05
23,53,14.45,7.7014,2.3518e-05,2.3518e-05
23,53,14.4,7.75,2.2163e-05,2.2163e-05
23,53,14.4,7.7014,2.8014e-05,2.8014e-05
23,53,14.35,7.75,2.7276e-05,2.7276e-05
23,53,14.35,7.7014,3.3064e-05,3.3064e-05
23,53,14.3,7.7014,3.8704e-05,3.8704e-05
23,53,14.3,7.75,3.3098e-05,3.3098e-05
23,53,14.25,7.75,3.9158e-05,3.9158e-05
23,53,14.25,7.7014,4.4635e-05,4.4635e-05
23,53,14.2,7.7014,5.0955e-05,5.0955e-05
23,53,14.2,7.75,4.5739e-05,4.5739e-05
23,53,14.15,7.7014,5.7586e-05,5.7586e-05
23,53,14.15,7.75,5.2675e-05,5.2675e-05
23,53,14.1,7.7014,6.446e-05,6.446e-05
23,53,14.1,7.75,5.983e-05,5.983e-05
23,53,14.05,7.75,6.6972e-05,6.6972e-05
23,53,14.05,7.7014,7.142e-05,7.142e-05
23,53,14,7.7014,7.9082e-05,7.9082e-05
23,53,14,7.75,7.4748e-05,7.4748e-05
23,53,13.95,7.7014,8.8431e-05,8.8431e-05
23,53,13.95,7.75,8.4006e-05,8.4006e-05
23,53,13.9,7.7014,9.7729e-05,9.7729e-05
23,53,13.9,7.75,9.1703e-05,9.1703e-05
23,53,13.85,7.75,9.8459e-05,9.8459e-05
23,53,13.85,7.7014,0.00010649,0.00010649
23,53,13.8,7.75,0.00010883,0.00010883
23,53,13.8,7.7014,0.00011762,0.00011762
23,53,13.75,7.75,0.00012238,0.00012238
23,53,13.75,7.7014,0.00013103,0.00013103
23,53,13.7,7.7014,0.00014393,0.00014393
23,53,13.7,7.75,0.00013472,0.00013472
23,53,13.65,7.7014,0.00015701,0.00015701
23,53,13.65,7.75,0.00014607,0.00014607
23,53,13.6,7.75,0.00016251,0.00016251
23,53,13.6,7.7014,0.00017489,0.00017489
23,53,13.55,7.75,0.00018848,0.00018848
23,53,13.55,7.7014,0.00020159,0.00020159
23,53,15,-7.7038,-2.749e-06,-2.749e-06
23,53,14.953,-7.7029,4.3745e-06,4.3745e-06
23,53,15,-7.75,7.491e-07,7.491e-07
23,53,14.954,-7.75,-9.299e-06,-9.299e-06
23,53,15,-7.6569,2.5179e-06,2.5179e-06
23,53,14.952,-7.6552,5.6336e-06,5.6336e-06
23,53,15,7.6569,2.5186e-06,2.5186e-06
23,53,14.952,7.6552,5.6329e-06,5.6329e-06
23,53,15,7.6085,2.1845e-06,2.1845e-06
23,53,14.952,7.6063,5.3754e-06,5.3754e-06
23,53,15,7.5586,1.8532e-06,1.8532e-06
23,53,14.952,7.5563,4.8726e-06,4.8726e-06
23,53,15,7.5076,1.3469e-06,1.3469e-06
23,53,14.952,7.5055,4.285e-06,4.285e-06
23,53,15,7.4559,6.6313e-07,6.6313e-07
23,53,14.952,7.4543,3.7329e-06,3.7329e-06
23,53,15,7.4042,1.4082e-08,1.4082e-08
23,53,14.952,7.4031,3.2886e-06,3.2886e-06
23,53,15,7.3527,-4.8321e-07,-4.8321e-07
23,53,14.952,7.352,2.9809e-06,2.9809e-06
23,53,15,7.3016,-7.3923e-07,-7.3923e-07
23,53,14.952,7.3012,2.8022e-06,2.8022e-06
23,53,15,7.2508,-7.9011e-07,-7.9011e-07
23,53,14.951,7.2507,2.7219e-06,2.7219e-06
23,53,15,7.2004,-7.0832e-07,-7.0832e-07
23,53,14.951,7.2004,2.7001e-06,2.7001e-06
23,53,15,7.1502,-5.705e-07,-5.705e-07
23,53,14.951,7.1502,2.7013e-06,2.7013e-06
23,53,15,7.1001,-4.2673e-07,-4.2673e-07
23,53,14.951,7.1001,2.7071e-06,2.7071e-06
23,53,15,7.05,-2.8772e-07,-2.8772e-07
23,53,14.951,7.05,2.7088e-06,2.7088e-06
23,53,15,7,-2.3783e-07,-2.3783e-07
23,53,14.951,7,2.7099e-06,2.7099e-06
23,53,15,6.95,-1.4617e-07,-1.4617e-07
23,53,14.951,6.95,2.7068e-06,2.7068e-06
23,53,15,6.9,-1.0118e-07,-1.0118e-07
23,53,14.951,6.9,2.699e-06,2.699e-06
23,53,15,6.85,-6.6772e-08,-6.6772e-08
23,53,14.951,6.85,2.6882e-06,2.6882e-06
23,53,15,6.8,-4.7348e-08,-4.7348e-08
23,53,14.951,6.8,2.6783e-06,2.6783e-06
23,53,15,6.75,-3.3241e-08,-3.3241e-08
23,53,14.951,6.75,2.6693e-06,2.6693e-06
23,53,15,6.7,-2.4798e-08,-2.4798e-08
23,53,14.951,6.7,2.6574e-06,2.6574e-06
23,53,15,6.65,-1.5918e-08,-1.5918e-08
23,53,14.951,6.65,2.646e-06,2.646e-06
23,53,15,6.6,-2.8847e-08,-2.8847e-08
23,53,14.951,6.6,2.6315e-06,2.6315e-06
23,53,15,6.55,1.9667e-08,1.9667e-08
23,53,14.951,6.55,2.6162e-06,2.6162e-06
23,53,15,6.5,2.5414e-08,2.5414e-08
23,53,14.951,6.5,2.6101e-06,2.6101e-06
23,53,15,6.45,-2.0704e-08,-2.0704e-08
23,53,14.951,6.45,2.6053e-06,2.6053e-06
23,53,15,6.4,-3.2895e-08,-3.2895e-08
23,53,14.951,6.4,2.595e-06,2.595e-06
23,53,15,6.35,1.5189e-08,1.5189e-08
23,53,14.951,6.35,2.581e-06,2.581e-06
23,53,15,6.3,2.6017e-09,2.6017e-09
23,53,14.951,6.3,2.5693e-06,2.5693e-06
23,53,15,6.25,1.9225e-09,1.9225e-09
23,53,14.951,6.25,2.5631e-06,2.5631e-06
23,53,15,6.2,3.3116e-10,3.3116e-10
23,53,14.951,6.2,2.5569e-06,2.5569e-06
23,53,15,6.15,4.1097e-09,4.1097e-09
23,53,14.951,6.15,2.5518e-06,2.5518e-06
23,53,15,6.1,1.7368e-09,1.7368e-09
23,53,14.951,6.1,2.5501e-06,2.5501e-06
23,53,15,6.05,-4.0401e-09,-4.0401e-09
23,53,14.951,6.05,2.5489e-06,2.5489e-06
23,53,15,6,9.8635e-10,9.8635e-10
23,53,14.951,6,2.5483e-06,2.5483e-06
