TimeStep,Time,"Points:0","Points:1","Points:2","WaterHeight"
6,36,0.046287,7.75,0.00011299,0.00011299
6,36,0,7.75,0.00016072,0.00016072
6,36,0.047151,7.7029,0.00012498,0.00012498
6,36,-3.8515e-27,7.7038,0.000178,0.000178
6,36,0,-7.5587,0.00018116,0.00018116
6,36,0.048137,-7.5563,0.00012552,0.00012552
6,36,0,-7.5076,0.00018064,0.00018064
6,36,0.048264,-7.5055,0.00012584,0.00012584
6,36,6.5551e-25,7.6569,0.00018171,0.00018171
6,36,0.0476,7.6552,0.0001244,0.0001244
6,36,-9.2773e-27,7.6085,0.0001815,0.0001815
6,36,0.047916,7.6063,0.00012484,0.00012484
6,36,3.5105e-29,7.5587,0.00018114,0.00018114
6,36,0.048137,7.5563,0.00012561,0.00012561
6,36,-1.0398e-35,7.4559,0.00017996,0.00017996
6,36,0.04833,7.4543,0.0001259,0.0001259
6,36,-6.7835e-33,7.5076,0.00018065,0.00018065
6,36,0.048264,7.5055,0.0001259,0.0001259
6,36,-7.8723e-40,7.4042,0.00017929,0.00017929
6,36,0.048375,7.4031,0.00012576,0.00012576
6,36,1.5554e-43,7.3527,0.00017878,0.00017878
6,36,0.048421,7.352,0.00012564,0.00012564
6,36,4.2039e-45,7.3016,0.0001785,0.0001785
6,36,0.048467,7.3012,0.00012559,0.00012559
6,36,0,7.2508,0.00017844,0.00017844
6,36,0.048506,7.2507,0.00012555,0.00012555
6,36,0,7.2004,0.00017852,0.00017852
6,36,0.048535,7.2004,0.00012552,0.00012552
6,36,0,7.1502,0.00017865,0.00017865
6,36,0.048553,7.1502,0.00012551,0.00012551
6,36,0,7.1001,0.0001788,0.0001788
6,36,0.048564,7.1001,0.0001255,0.0001255
6,36,0.04857,7.05,0.00012551,0.00012551
6,36,0,7.05,0.00017892,0.00017892
6,36,0,7,0.00017901,0.00017901
6,36,0.048574,7,0.0001255,0.0001255
6,36,0.048575,6.95,0.00012549,0.00012549
6,36,0,6.95,0.00017908,0.00017908
6,36,0.048576,6.9,0.00012549,0.00012549
6,36,0,6.9,0.00017913,0.00017913
6,36,0.048577,6.85,0.00012548,0.00012548
6,36,0,6.85,0.00017916,0.00017916
6,36,0,6.8,0.00017918,0.00017918
6,36,0.048577,6.8,0.00012547,0.00012547
6,36,0,6.75,0.00017922,0.00017922
6,36,0.048577,6.75,0.00012548,0.00012548
6,36,0,6.7,0.00017916,0.00017916
6,36,0.048577,6.7,0.0001255,0.0001255
6,36,0.048577,6.65,0.00012553,0.00012553
6,36,0,6.65,0.00017926,0.00017926
6,36,0.048577,6.6,0.00012556,0.00012556
6,36,0,6.6,0.0001792,0.0001792
6,36,0,6.55,0.00017922,0.00017922
6,36,0.048577,6.55,0.00012557,0.00012557
6,36,0,6.5,0.00017922,0.00017922
6,36,0.048577,6.5,0.00012558,0.00012558
6,36,0.048577,6.45,0.00012557,0.00012557
6,36,0,6.45,0.00017922,0.00017922
6,36,0,6.4,0.00017922,0.00017922
6,36,0.048577,6.4,0.00012558,0.00012558
6,36,0,6.35,0.00017922,0.00017922
6,36,0.048577,6.35,0.0001256,0.0001256
6,36,0.09338,7.75,5.8943e-05,5.8943e-05
6,36,0.094943,7.7024,6.6691e-05,6.6691e-05
6,36,15,7.7038,-2.7486e-06,-2.7486e-06
6,36,15,7.75,7.0215e-07,7.0215e-07
6,36,14.953,7.7029,3.915e-06,3.915e-06
6,36,14.954,7.75,-9.4262e-06,-9.4262e-06
6,36,0.14387,7.7021,1.4247e-06,1.4247e-06
6,36,0.14182,7.75,-5.982e-06,-5.982e-06
6,36,14.907,7.75,-5.1363e-06,-5.1363e-06
6,36,14.905,7.7024,3.3402e-06,3.3402e-06
6,36,0.19172,7.75,-8.0284e-05,-8.0284e-05
6,36,0.19391,7.7018,-7.2043e-05,-7.2043e-05
6,36,0.24276,7.75,-0.00015575,-0.00015575
6,36,0.24475,7.7017,-0.00014578,-0.00014578
6,36,14.858,7.75,-4.8516e-06,-4.8516e-06
6,36,14.856,7.7021,2.6947e-06,2.6947e-06
6,36,14.808,7.75,-3.9251e-06,-3.9251e-06
6,36,14.806,7.7018,3.6113e-06,3.6113e-06
6,36,14.757,7.75,-3.0175e-06,-3.0175e-06
6,36,14.755,7.7017,4.5005e-06,4.5005e-06
6,36,14.706,7.75,-1.7077e-06,-1.7077e-06
6,36,14.704,7.7016,5.6497e-06,5.6497e-06
6,36,14.654,7.75,-1.8914e-07,-1.8914e-07
6,36,14.653,7.7016,6.9837e-06,6.9837e-06
6,36,14.602,7.75,1.4994e-06,1.4994e-06
6,36,14.602,7.7015,8.5113e-06,8.5113e-06
6,36,14.551,7.75,3.3702e-06,3.3702e-06
6,36,14.551,7.7015,1.0243e-05,1.0243e-05
6,36,14.501,7.75,5.4959e-06,5.4959e-06
6,36,14.501,7.7014,1.2279e-05,1.2279e-05
6,36,14.45,7.75,8.1312e-06,8.1312e-06
6,36,14.45,7.7014,1.464e-05,1.464e-05
6,36,14.4,7.75,1.1297e-05,1.1297e-05
6,36,14.4,7.7014,1.7248e-05,1.7248e-05
6,36,14.35,7.75,1.4267e-05,1.4267e-05
6,36,14.35,7.7014,2.0004e-05,2.0004e-05
6,36,14.3,7.7014,2.336e-05,2.336e-05
6,36,14.3,7.75,1.7296e-05,1.7296e-05
6,36,14.25,7.75,2.087e-05,2.087e-05
6,36,14.25,7.7014,2.7094e-05,2.7094e-05
6,36,14.2,7.7014,3.0953e-05,3.0953e-05
6,36,14.2,7.75,2.4702e-05,2.4702e-05
6,36,14.15,7.7014,3.5325e-05,3.5325e-05
6,36,14.15,7.75,2.8673e-05,2.8673e-05
6,36,14.1,7.7014,4.0472e-05,4.0472e-05
6,36,14.1,7.75,3.358e-05,3.358e-05
6,36,14.05,7.75,3.9596e-05,3.9596e-05
6,36,14.05,7.7014,4.613e-05,4.613e-05
6,36,14,7.7014,5.1969e-05,5.1969e-05
6,36,14,7.75,4.5792e-05,4.5792e-05
6,36,13.95,7.7014,5.8938e-05,5.8938e-05
6,36,13.95,7.75,5.2903e-05,5.2903e-05
6,36,13.9,7.7014,6.7304e-05,6.7304e-05
6,36,13.9,7.75,6.1238e-05,6.1238e-05
6,36,13.85,7.75,7.0429e-05,7.0429e-05
6,36,13.85,7.7014,7.6667e-05,7.6667e-05
6,36,13.8,7.75,8.1094e-05,8.1094e-05
6,36,13.8,7.7014,8.7486e-05,8.7486e-05
6,36,13.75,7.75,9.3494e-05,9.3494e-05
6,36,13.75,7.7014,0.00010002,0.00010002
6,36,13.7,7.7014,0.00011455,0.00011455
6,36,13.7,7.75,0.00010775,0.00010775
6,36,13.65,7.7014,0.00013152,0.00013152
6,36,13.65,7.75,0.00012457,0.00012457
6,36,13.6,7.75,0.00014403,0.00014403
6,36,13.6,7.7014,0.00015117,0.00015117
6,36,13.55,7.75,0.00016653,0.00016653
6,36,13.55,7.7014,0.00017384,0.00017384
6,36,15,-7.7038,-2.749e-06,-2.749e-06
6,36,14.953,-7.7029,3.9486e-06,3.9486e-06
6,36,15,-7.75,7.2592e-07,7.2592e-07
6,36,14.954,-7.75,-9.3168e-06,-9.3168e-06
6,36,15,-7.6569,2.5179e-06,2.5179e-06
6,36,14.952,-7.6552,4.918e-06,4.918e-06
6,36,15,7.6569,2.5186e-06,2.5186e-06
6,36,14.952,7.6552,4.9232e-06,4.9232e-06
6,36,15,7.6085,2.1845e-06,2.1845e-06
6,36,14.952,7.6063,4.9212e-06,4.9212e-06
6,36,15,7.5586,1.8532e-06,1.8532e-06
6,36,14.952,7.5563,4.6035e-06,4.6035e-06
6,36,15,7.5076,1.3469e-06,1.3469e-06
6,36,14.952,7.5055,4.0848e-06,4.0848e-06
6,36,15,7.4559,6.6313e-07,6.6313e-07
6,36,14.952,7.4543,3.5628e-06,3.5628e-06
6,36,15,7.4042,1.4082e-08,1.4082e-08
6,36,14.952,7.4031,3.1443e-06,3.1443e-06
6,36,15,7.3527,-4.8321e-07,-4.8321e-07
6,36,14.952,7.352,2.865e-06,2.865e-06
6,36,15,7.3016,-7.3923e-07,-7.3923e-07
6,36,14.952,7.3012,2.7103e-06,2.7103e-06
6,36,15,7.2508,-7.9011e-07,-7.9011e-07
6,36,14.951,7.2507,2.6442e-06,2.6442e-06
6,36,15,7.2004,-7.0832e-07,-7.0832e-07
6,36,14.951,7.2004,2.6289e-06,2.6289e-06
6,36,15,7.1502,-5.705e-07,-5.705e-07
6,36,14.951,7.1502,2.6385e-06,2.6385e-06
6,36,15,7.1001,-4.2673e-07,-4.2673e-07
6,36,14.951,7.1001,2.6529e-06,2.6529e-06
6,36,15,7.05,-2.8772e-07,-2.8772e-07
6,36,14.951,7.05,2.6636e-06,2.6636e-06
6,36,15,7,-2.3783e-07,-2.3783e-07
6,36,14.951,7,2.6744e-06,2.6744e-06
6,36,15,6.95,-1.4617e-07,-1.4617e-07
6,36,14.951,6.95,2.6802e-06,2.6802e-06
6,36,15,6.9,-1.0118e-07,-1.0118e-07
6,36,14.951,6.9,2.6787e-06,2.6787e-06
6,36,15,6.85,-6.6772e-08,-6.6772e-08
6,36,14.951,6.85,2.6757e-06,2.6757e-06
6,36,15,6.8,-4.7348e-08,-4.7348e-08
6,36,14.951,6.8,2.6714e-06,2.6714e-06
6,36,15,6.75,-3.3241e-08,-3.3241e-08
6,36,14.951,6.75,2.6666e-06,2.6666e-06
6,36,15,6.7,-2.4798e-08,-2.4798e-08
6,36,14.951,6.7,2.6625e-06,2.6625e-06
6,36,15,6.65,-1.5918e-08,-1.5918e-08
6,36,14.951,6.65,2.658e-06,2.658e-06
6,36,15,6.6,-2.8847e-08,-2.8847e-08
6,36,14.951,6.6,2.6501e-06,2.6501e-06
6,36,15,6.55,1.9667e-08,1.9667e-08
6,36,14.951,6.55,2.6428e-06,2.6428e-06
6,36,15,6.5,2.5414e-08,2.5414e-08
6,36,14.951,6.5,2.6429e-06,2.6429e-06
6,36,15,6.45,-2.0704e-08,-2.0704e-08
6,36,14.951,6.45,2.6469e-06,2.6469e-06
6,36,15,6.4,-3.2895e-08,-3.2895e-08
6,36,14.951,6.4,2.6428e-06,2.6428e-06
6,36,15,6.35,1.5189e-08,1.5189e-08
6,36,14.951,6.35,2.6351e-06,2.6351e-06
6,36,15,6.3,2.6017e-09,2.6017e-09
6,36,14.951,6.3,2.6315e-06,2.6315e-06
6,36,15,6.25,1.9225e-09,1.9225e-09
6,36,14.951,6.25,2.6292e-06,2.6292e-06
6,36,15,6.2,3.3116e-10,3.3116e-10
6,36,14.951,6.2,2.6287e-06,2.6287e-06
6,36,15,6.15,4.1097e-09,4.1097e-09
6,36,14.951,6.15,2.6289e-06,2.6289e-06
6,36,15,6.1,1.7368e-09,1.7368e-09
6,36,14.951,6.1,2.6284e-06,2.6284e-06
6,36,15,6.05,-4.0401e-09,-4.0401e-09
6,36,14.951,6.05,2.6296e-06,2.6296e-06
6,36,15,6,9.8635e-10,9.8635e-10
6,36,14.951,6,2.6314e-06,2.6314e-06
6,36,15,5.95,8.4751e-09,8.4751e-09
6,36,14.951,5.95,2.6324e-06,2.6324e-06
6,36,15,5.9,2.6526e-08,2.6526e-08
6,36,14.951,5.9,2.6373e-06,2.6373e-06
6,36,15,5.85,-2.4776e-08,-2.4776e-08
6,36,14.951,5.85,2.6442e-06,2.6442e-06
6,36,15,5.8,-4.4614e-09,-4.4614e-09
6,36,14.951,5.8,2.6505e-06,2.6505e-06
6,36,15,5.75,-2.8712e-09,-2.8712e-09
6,36,14.951,5.75,2.6522e-06,2.6522e-06
6,36,15,5.7,-1.5306e-09,-1.5306e-09
6,36,14.951,5.7,2.6549e-06,2.6549e-06
6,36,15,5.65,-1.6851e-09,-1.6851e-09
6,36,14.951,5.65,2.6566e-06,2.6566e-06
6,36,15,5.6,6.2775e-10,6.2775e-10
6,36,14.951,5.6,2.6601e-06,2.6601e-06
6,36,15,5.55,-1.9622e-08,-1.9622e-08
6,36,14.951,5.55,2.6601e-06,2.6601e-06
6,36,15,5.5,3.5802e-08,3.5802e-08
6,36,14.951,5.5,2.6596e-06,2.6596e-06
6,36,15,5.45,-1.9077e-08,-1.9077e-08
6,36,14.951,5.45,2.6669e-06,2.6669e-06
6,36,15,5.4,1.0167e-08,1.0167e-08
6,36,14.951,5.4,2.6749e-06,2.6749e-06
6,36,15,5.35,-9.854e-10,-9.854e-10
6,36,14.951,5.35,2.6789e-06,2.6789e-06
6,36,15,5.3,-2.8167e-09,-2.8167e-09
6,36,14.951,5.3,2.6835e-06,2.6835e-06
6,36,15,5.25,-2.9407e-09,-2.9407e-09
6,36,14.951,5.25,2.6893e-06,2.6893e-06
6,36,15,5.2,-1.5038e-09,-1.5038e-09
6,36,14.951,5.2,2.6956e-06,2.6956e-06
6,36,15,5.15,9.571e-10,9.571e-10
6,36,14.951,5.15,2.7037e-06,2.7037e-06
6,36,15,5.1,2.1237e-09,2.1237e-09
6,36,14.951,5.1,2.7118e-06,2.7118e-06
