"RegionId","Points:0","Points:1","Points:2"
0,7.7007,0.27794,3.6885
0,7.7252,0.27798,3.6905
0,7.7496,0.27804,3.6926
0,7.7734,0.27813,3.6946
0,7.7961,0.27824,3.6966
0,7.8176,0.27838,3.6986
0,7.8361,0.27853,3.7002
0,7.853,0.27869,3.7018
0,7.8771,0.27896,3.7041
0,7.9012,0.27928,3.7065
0,7.9251,0.27964,3.7088
0,7.9398,0.27989,3.7103
0,7.9636,0.28033,3.7128
0,7.9872,0.28081,3.7153
0,8.0107,0.28133,3.7179
0,8.0341,0.28189,3.7206
0,8.051,0.2823,3.7225
0,8.0743,0.28288,3.7252
0,8.0975,0.28344,3.7281
0,8.1205,0.28395,3.7309
0,8.1436,0.28437,3.7338
0,8.1665,0.28464,3.7366
0,8.1894,0.28479,3.7394
0,8.2121,0.28483,3.7422
0,8.2349,0.28478,3.7446
0,8.2575,0.28471,3.7464
0,8.2802,0.28464,3.7478
0,8.3027,0.28457,3.7488
0,8.3252,0.28453,3.7496
0,8.34,0.28453,3.7501
0,8.3623,0.2846,3.7508
0,8.3846,0.28471,3.7516
0,8.4068,0.28487,3.7523
0,8.4289,0.28504,3.7531
0,8.4511,0.28521,3.7539
0,8.4732,0.28539,3.7547
0,8.4953,0.28556,3.7555
0,8.5173,0.28573,3.7563
0,8.5392,0.28588,3.757
0,8.5611,0.28603,3.7578
0,8.5766,0.28613,3.7583
0,8.5983,0.28627,3.7589
0,8.6201,0.28641,3.7595
0,8.6418,0.28655,3.76
0,8.6635,0.28671,3.7604
0,8.6834,0.28688,3.7608
0,8.7032,0.28706,3.7611
0,8.7249,0.28728,3.7615
0,8.7465,0.28754,3.7619
0,8.7682,0.28783,3.7622
0,8.7898,0.28815,3.7626
0,8.8114,0.28849,3.7629
0,8.8331,0.28887,3.7633
0,8.8542,0.28926,3.7636
0,8.8759,0.28968,3.7639
0,8.8975,0.29014,3.7642
0,8.9192,0.29062,3.7645
0,8.9408,0.29113,3.7647
0,8.9624,0.29167,3.765
0,8.9835,0.29219,3.7652
0,9.0031,0.2927,3.7654
0,9.0247,0.29329,3.7655
0,9.0463,0.29393,3.7657
0,9.068,0.29461,3.7659
0,9.0896,0.29531,3.766
0,9.1104,0.29604,3.7661
0,9.1305,0.29678,3.7663
0,9.1521,0.29761,3.7664
0,9.1737,0.29849,3.7665
0,9.1953,0.29942,3.7665
0,9.217,0.30041,3.7666
0,9.2386,0.30144,3.7666
0,9.2587,0.30244,3.7666
0,9.2752,0.3033,3.7666
0,9.2969,0.30446,3.7665
0,9.3185,0.30568,3.7665
0,9.3401,0.30693,3.7664
0,9.3598,0.30812,3.7662
0,9.3758,0.30911,3.7661
0,9.3974,0.31051,3.766
0,9.419,0.31196,3.7658
0,9.4406,0.31347,3.7655
0,9.4621,0.31502,3.7653
0,9.4771,0.31613,3.7651
0,9.4893,0.31707,3.7649
0,9.5005,0.31796,3.7647
0,9.522,0.31973,3.7643
0,9.5436,0.32156,3.7639
0,9.5652,0.32344,3.7634
0,9.5867,0.32535,3.7629
0,9.6034,0.32688,3.7625
0,9.6249,0.3289,3.7619
0,9.6465,0.33096,3.7614
0,9.668,0.33306,3.7608
0,9.6896,0.33519,3.7601
0,9.7103,0.33729,3.7595
0,9.7309,0.3394,3.7589
0,9.7505,0.34142,3.7583
0,9.772,0.34369,3.7577
0,9.7935,0.34599,3.757
0,9.815,0.3483,3.7564
0,9.8365,0.35065,3.7557
0,9.8575,0.35299,3.7551
0,9.879,0.35541,3.7544
0,9.9005,0.35785,3.7538
0,9.922,0.36031,3.7532
0,9.9435,0.36278,3.7526
0,9.965,0.36525,3.752
0,9.9861,0.36769,3.7516
0,10.004,0.36972,3.7512
0,10.025,0.37221,3.7508
