"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
1,0,-0,0,8.9687e-05,4.7854e-06,-5.7344e-05,0,0.24428,-7.4666,-2.7177
1,0,0,0,0.00024339,2.8087e-07,1.1219e-05,0,13.846,-7.6558,-2.8125
1,-0,0,0,-2.9696e-09,2.1682e-05,7.6927e-06,0,14.919,4.6524,-2.8126
1,0,-0,-0,0.00033956,-3.3751e-06,-4.7066e-06,0,3.5496,7.6557,-2.8125
-0,0.99797,0.0010237,-0.0012009,0.99797,-0.0012009,0.0010237,0.99797,0.07976,7.6568,3.09
-0,1.0003,-0.0011504,-0.00045819,1.0003,-0.00045819,-0.0011504,1.0003,0.079729,-2.3031,5.093
-0,0.99474,-0.0030242,0.00038033,0.99474,0.00038033,-0.0030242,0.99474,9.4501,-7.6565,5.0928
-2.9944e-31,1.0006,-0.098692,0.000796,1.0006,0.000796,-0.098692,1.0055,14.92,1.6,5.093
-0,0.99247,-0.00027101,0.00039593,0.99247,0.00039593,-0.00027101,0.99247,6.75,7.6565,5.0928
-0,1.0102,-0.0030447,-0.00027013,1.0102,-0.00027013,-0.0030447,1.0102,8.05,7.4682,5.0924
-0,1.0096,-0.0031211,0.00029948,1.0096,0.00029948,-0.0031211,1.0096,7.15,7.2758,5.0922
-0,1.0091,-0.0036477,0.00022129,1.0091,0.00022129,-0.0036477,1.0091,7.65,7.0784,5.0919
-0,1.0073,-0.0020713,0.00033761,1.0073,0.00033761,-0.0020713,1.0073,7.55,6.8766,5.0918
-0,1.0067,-0.00064357,0.00048082,1.0067,0.00048082,-0.00064357,1.0067,7.25,6.6719,5.0917
-0,1.0087,-0.00037538,0.0011331,1.0087,0.0011331,-0.00037538,1.0087,7.95,6.4662,5.0916
-0,1.0069,-0.0017229,0.00083075,1.0069,0.00083075,-0.0017229,1.007,6.85,6.2608,5.0916
-0,1.01,-0.0013756,0.0010173,1.01,0.0010173,-0.0013756,1.01,8.35,6.0566,5.0915
-0,1.0077,-0.00083012,0.0015298,1.0077,0.0015298,-0.00083012,1.0077,6.45,5.8537,5.0915
-0,1.0113,-0.0018027,0.0011654,1.0113,0.0011654,-0.0018027,1.0113,8.75,5.6519,5.0914
-0,1.0077,-0.0032607,0.0020446,1.0077,0.0020446,-0.0032607,1.0077,6.05,5.4509,5.0914
-0,1.0123,-0.00049116,0.0014894,1.0123,0.0014894,-0.00049116,1.0123,9.15,5.2504,5.0914
-0,1.008,-0.0027759,0.0021613,1.008,0.0021613,-0.0027759,1.008,5.65,5.0502,5.0914
-0,1.0133,-0.0027618,0.0017922,1.0133,0.0017922,-0.0027618,1.0133,9.5502,4.8502,5.0914
-0,1.0056,-0.0021994,0.0025761,1.0056,0.0025761,-0.0021994,1.0056,5.2479,4.6508,5.0915
-0,1.011,-0.0016038,0.001337,1.011,0.001337,-0.0016038,1.011,9.9628,4.4533,5.0917
-0,1.0055,-0.0024329,0.0027195,1.0055,0.0027195,-0.0024329,1.0055,4.7979,4.2617,5.0915
-0,1.0096,-0.0011348,0.0011325,1.0096,0.0011325,-0.0011348,1.0096,10.499,4.0819,5.091
-0,1.0037,0.00010249,0.0016686,1.0037,0.0016686,0.00010249,1.0037,4.1412,3.9174,5.0911
-0,1.0062,-0.0025228,0.00087822,1.0062,0.00087822,-0.0025228,1.0062,11.251,3.7692,5.0916
-0,1.0027,-0.002346,0.00093842,1.0027,0.00093842,-0.002346,1.0027,3.35,3.637,5.0918
-0,1.0033,-0.0049832,0.00075916,1.0033,0.00075916,-0.0049832,1.0033,12.05,3.518,5.0919
-0,1.0013,0.00057868,0.0018798,1.0013,0.0018798,0.00057868,1.0013,2.55,3.4079,5.0917
-0,1.0027,-0.01598,0.0009097,1.0027,0.0009097,-0.01598,1.0028,12.85,3.3031,5.0916
-0,1.0008,-0.0019742,-2.6077e-05,1.0008,-2.6077e-05,-0.0019742,1.0008,1.7494,3.2011,5.0915
-0,1.0021,-0.03471,0.00091886,1.0021,0.00091886,-0.03471,1.0027,13.65,3.1003,5.0914
-0,1.0005,-0.0018245,0.00045373,1.0005,0.00045373,-0.0018245,1.0005,0.95676,3.0001,5.0914
-0,1.0018,-0.054932,0.00082322,1.0018,0.00082322,-0.054932,1.0033,14.416,2.9,5.0919
-0,1.0005,-0.00019975,0.00056322,1.0005,0.00056322,-0.00019975,1.0005,0.24128,2.8,5.0927
-0,1.0017,-0.060267,0.00080991,1.0017,0.00080991,-0.060267,1.0036,14.591,2.8,5.0923
-0,1.0003,-0.0004183,0.00017107,1.0003,0.00017107,-0.0004183,1.0003,0.7667,2.7,5.0916
-0,1.0019,-0.047525,0.00098014,1.0019,0.00098014,-0.047525,1.0031,13.848,2.6,5.0914
-0,1.0006,-0.0020527,0.0003588,1.0006,0.0003588,-0.0020527,1.0006,1.5493,2.5,5.0914
-0,1.0024,-0.020374,0.0013923,1.0024,0.0013923,-0.020374,1.0026,13.05,2.4,5.0914
-0,1.0011,-0.0010261,0.0012041,1.0011,0.0012041,-0.0010261,1.0011,2.3499,2.3,5.0914
-0,1.0041,-0.0011007,0.0032172,1.0041,0.0032172,-0.0011007,1.0041,12.25,2.2,5.0914
-0,1.0017,-0.0021128,0.0014873,1.0017,0.0014873,-0.0021128,1.0017,3.15,2.1,5.0914
-0,1.0035,-0.0010773,0.0026637,1.0035,0.0026637,-0.0010773,1.0035,11.45,2,5.0914
-0,1.0012,-0.0015373,0.0018958,1.0012,0.0018958,-0.0015373,1.0012,3.9482,1.9,5.0913
-0,1.0047,-0.0016735,0.0010367,1.0047,0.0010367,-0.0016735,1.0047,10.667,1.8,5.0912
-0,1.002,-0.0025704,0.0027944,1.002,0.0027944,-0.0025704,1.0021,4.667,1.7,5.0914
-0,1.0087,-0.0058525,0.00095504,1.0087,0.00095504,-0.0058525,1.0087,10.07,1.6,5.0917
-0,1.003,-0.00032341,0.004182,1.003,0.004182,-0.00032341,1.003,5.1469,1.5,5.0916
-0,1.0133,-0.0072583,0.0008298,1.0133,0.0008298,-0.0072583,1.0133,9.6503,1.4,5.0915
-0,1.0044,-0.0015907,0.0060908,1.0044,0.0060908,-0.0015907,1.0044,5.55,1.3,5.0914
0,1.019,-0.0066283,0.00097142,1.019,0.00097142,-0.0066283,1.019,9.25,1.2,5.0914
-0,1.0051,-0.0018097,0.0064833,1.0051,0.0064833,-0.0018097,1.0051,5.95,1.1,5.0914
-0,1.0258,-0.0040461,0.0013739,1.0258,0.0013739,-0.0040461,1.0258,8.85,1,5.0914
-0,1.0089,-0.0015197,0.0074797,1.0089,0.0074797,-0.0015197,1.0089,6.35,0.9,5.0914
-0,1.0322,-0.0012863,0.0018119,1.0322,0.0018119,-0.0012863,1.0322,8.45,0.8,5.0914
-0,1.0125,-0.0014392,0.0061368,1.0125,0.0061368,-0.0014392,1.0125,6.75,0.7,5.0914
-0,1.0336,-0.00060532,0.0020524,1.0336,0.0020524,-0.00060532,1.0336,8.05,0.6,5.0914
-0,1.0188,-0.001836,0.0040988,1.0188,0.0040988,-0.001836,1.0188,7.15,0.5,5.0914
-0,1.0306,-0.00264,0.0028518,1.0306,0.0028518,-0.00264,1.0306,7.65,0.4,5.0914
-0,1.027,-0.003002,0.0023917,1.027,0.0023917,-0.003002,1.027,7.55,0.3,5.0914
-0,1.022,0.00027169,0.0019967,1.022,0.0019967,0.00027169,1.022,7.25,0.2,5.0914
-0,1.0342,-5.2598e-05,0.00033349,1.0342,0.00033349,-5.2598e-05,1.0342,7.95,0.1,5.0914
-0,1.0142,0.00037412,0.00056907,1.0142,0.00056907,0.00037412,1.0142,6.85,-6.2864e-08,5.0914
-0,1.0353,-0.0025968,-0.00092087,1.0353,-0.00092087,-0.0025968,1.0354,8.35,-0.1,5.0914
-0,1.0077,-0.00075875,-0.00034323,1.0077,-0.00034323,-0.00075875,1.0077,6.45,-0.2,5.0914
-0,1.0283,-0.012355,-0.00081087,1.0283,-0.00081087,-0.012355,1.0284,8.75,-0.3,5.0914
-0,1.0047,-0.00047477,-0.0017253,1.0047,-0.0017253,-0.00047477,1.0047,6.05,-0.4,5.0914
-0,1.0193,-0.024943,-0.00065734,1.0193,-0.00065734,-0.024943,1.0196,9.15,-0.5,5.0914
-0,1.0025,-0.0018669,-0.0013048,1.0025,-0.0013048,-0.0018669,1.0025,5.65,-0.6,5.0914
-0,1.0122,-0.03349,-0.00051457,1.0122,-0.00051457,-0.03349,1.0128,9.5501,-0.7,5.0914
-0,1.0008,-0.0011894,-0.001982,1.0008,-0.001982,-0.0011894,1.0008,5.249,-0.8,5.0915
-0,1.0077,-0.03515,-0.00055521,1.0077,-0.00055521,-0.03515,1.0083,9.9584,-0.9,5.0917
-0,1.0014,-0.0014251,-0.0015,1.0014,-0.0015,-0.0014251,1.0014,4.8065,-1,5.0916
-0,1.0049,-0.033304,-0.00081792,1.0049,-0.00081792,-0.033304,1.0054,10.491,-1.1,5.0913
-0,1.0009,-0.002237,-0.001846,1.0009,-0.001846,-0.002237,1.0009,4.1439,-1.2,5.0913
-0,1.0037,-0.037093,-0.0013344,1.0037,-0.0013344,-0.037093,1.0043,11.25,-1.3,5.0914
-0,1.0009,-0.00078571,-0.001325,1.0009,-0.001325,-0.00078571,1.0009,3.35,-1.4,5.0914
0,1.0028,-0.030894,-0.0020411,1.0028,-0.0020411,-0.030894,1.0032,12.05,-1.5,5.0914
-0,1.0009,-0.00066846,-0.00091685,1.0009,-0.00091685,-0.00066846,1.0009,2.55,-1.6,5.0914
0,1.0025,-0.036999,-0.0023209,1.0025,-0.0023209,-0.036999,1.0032,12.85,-1.7,5.0914
-0,1.0007,0.00034201,-0.00055755,1.0007,-0.00055755,0.00034201,1.0007,1.7494,-1.8,5.0914
-0,1.0021,-0.044375,-0.0013842,1.0021,-0.0013842,-0.044375,1.0031,13.65,-1.9,5.0914
-0,1.0002,-0.00093318,-0.00036173,1.0002,-0.00036173,-0.00093318,1.0002,0.95676,-2.0001,5.0914
-0,1.0014,-0.030262,-0.001432,1.0014,-0.001432,-0.030262,1.0018,14.416,-2.1004,5.0919
-0,1.0008,-0.0021834,-0.00086172,1.0008,-0.00086172,-0.0021834,1.0008,0.24129,-2.2015,5.0927
-0,1.0014,-0.024295,-0.0016301,1.0014,-0.0016301,-0.024295,1.0017,14.591,-2.2015,5.0924
-0,1.0004,-0.00090052,-0.00088048,1.0004,-0.00088048,-0.00090052,1.0004,0.76687,-2.3032,5.0918
-0,1.0019,-0.040475,-0.0012423,1.0019,-0.0012423,-0.040475,1.0028,13.848,-2.4079,5.0917
-0,1.0004,-0.002379,-0.00093823,1.0004,-0.00093823,-0.002379,1.0004,1.5494,-2.518,5.0919
-0,1.0025,-0.040992,-0.00098454,1.0025,-0.00098454,-0.040992,1.0033,13.05,-2.637,5.0918
-0,1.0015,-0.0010509,-0.00032039,1.0015,-0.00032039,-0.0010509,1.0015,2.3499,-2.7693,5.0916
-0,1.003,-0.031354,-0.00079913,1.003,-0.00079913,-0.031354,1.0035,12.25,-2.9184,5.0913
-0,1.0015,-0.0012153,-0.00094659,1.0015,-0.00094659,-0.0012153,1.0015,3.15,-3.0847,5.0911
-0,1.0033,-0.017348,-0.00069585,1.0033,-0.00069585,-0.017348,1.0034,11.45,-3.2655,5.0911
-0,1.0032,-0.0015418,-0.0015462,1.0032,-0.0015462,-0.0015418,1.0032,3.9462,-3.4558,5.0911
-0,1.0069,-0.0028752,-0.00045791,1.0069,-0.00045791,-0.0028752,1.0069,10.675,-3.6518,5.0911
-0,1.005,-0.0014386,-0.0030137,1.005,-0.0030137,-0.0014386,1.0051,4.6562,-3.8503,5.0914
-0,1.0123,-0.00090742,-0.0004125,1.0123,-0.0004125,-0.00090742,1.0123,10.078,-4.0501,5.0919
-0,1.0069,-0.0012892,-0.0031982,1.0069,-0.0031982,-0.0012892,1.0069,5.1444,-4.25,5.0917
-0,1.015,-0.0012867,-0.0008817,1.015,-0.0008817,-0.0012867,1.015,9.6507,-4.45,5.0915
-0,1.0078,-0.00063141,-0.0032593,1.0078,-0.0032593,-0.00063141,1.0078,5.55,-4.65,5.0914
-0,1.0151,-0.0021062,-0.0015369,1.0151,-0.0015369,-0.0021062,1.0152,9.25,-4.8501,5.0914
-0,1.0101,-0.00012715,-0.0029879,1.0101,-0.0029879,-0.00012715,1.0101,5.95,-5.0502,5.0914
-0,1.0143,-0.00068825,-0.0013367,1.0143,-0.0013367,-0.00068825,1.0143,8.85,-5.2504,5.0914
-0,1.0094,-0.00091678,-0.002188,1.0094,-0.002188,-0.00091678,1.0094,6.35,-5.4509,5.0914
-0,1.0139,-0.0027507,-0.0011633,1.0139,-0.0011633,-0.0027507,1.0139,8.45,-5.6519,5.0914
-0,1.0101,-0.0011266,-0.0024375,1.0101,-0.0024375,-0.0011266,1.0101,6.75,-5.8537,5.0915
-0,1.0135,-3.9844e-06,-0.0010532,1.0135,-0.0010532,-3.9844e-06,1.0135,8.05,-6.0566,5.0915
-0,1.0094,-0.00049734,-0.0011936,1.0094,-0.0011936,-0.00049734,1.0094,7.15,-6.2608,5.0916
-0,1.0092,-0.0013038,-0.00066161,1.0092,-0.00066161,-0.0013038,1.0092,7.65,-6.4662,5.0916
-0,1.0079,-0.0015318,-0.00055529,1.0079,-0.00055529,-0.0015318,1.0079,7.55,-6.6719,5.0917
-0,1.0077,-0.0018068,-0.00071172,1.0077,-0.00071172,-0.0018068,1.0077,7.25,-6.8766,5.0918
-0,1.0085,-0.00063557,7.4838e-06,1.0085,7.4838e-06,-0.00063557,1.0085,7.95,-7.0784,5.0919
-0,1.01,-0.0026548,-0.00064405,1.01,-0.00064405,-0.0026548,1.01,6.85,-7.2758,5.0922
-0,1.0101,-0.0021125,-0.00072411,1.0101,-0.00072411,-0.0021125,1.0101,8.35,-7.4682,5.0924
-0,1.0001,0.0030063,0.0012693,1.0001,0.0012693,0.0030063,1.0001,0.078696,-7.4679,1.0955
1,0,-0,0,3.1654e-05,6.1138e-05,-1.6657e-05,0,0.079734,-0.9,-2.813
1,0,-0,-0,0.00013867,-0.00078948,-7.3786e-05,0,0.023643,7.6833,-0.17542
1,0,0,-0,3.5386e-05,-0.00010129,0.0006195,0,0.02848,7.4926,-0.26418
1,-0,0,-0,-8.312e-05,-0.0001611,0.00076926,0,0.025284,7.2308,-0.23169
1,0,0,-0,2.5645e-05,-0.00010479,0.00089125,0,0.024225,7.2763,-0.072902
1,0,-0,-0,0.001699,-0.00039829,-0.00084547,0,0.024286,7.025,-0.022543
0,1.0064,0.039904,0.0032152,1.0064,0.0032152,0.039904,1.0071,0.02879,7.0286,0.24049
0,1.1163,0.13847,0.007229,1.1163,0.007229,0.13847,1.1249,0.024269,6.675,0.078011
1,-0,0,-0,-5.58e-05,-0.00011144,0.0007802,0,0.028857,6.3752,-0.2592
0,1.0001,0.004,-0.0012692,1.0001,-0.0012692,0.004,1.0001,0.078365,7.4676,0.90379
-0,1.0015,0.0080864,-0.00046686,1.0015,-0.00046686,0.0080864,1.0015,0.23564,7.2703,1.1921
-0,0.32596,-0.018093,-0.039823,0.32596,-0.039823,-0.018093,0.32889,0.070429,7.7264,0.027364
1,0,-0,-0,0.00055367,-1.0621e-05,-1.3551e-05,0,8.45,7.6553,-2.7179
-3.8791e-27,1.0111,-0.073023,-0.0027645,1.0111,-0.0027645,-0.073023,1.0137,14.922,7.6568,0.81561
1.251e-28,0.85458,-0.078789,-0.041655,0.85458,-0.041655,-0.078789,0.85921,13.7,7.6938,0.46394
-5.0322e-30,0.83718,0.0095932,-0.012658,0.83718,-0.012658,0.0095932,0.83733,6.975,7.6938,0.45478
0,1.1248,0.12578,0.012769,1.1248,0.012769,0.12578,1.1319,0.11873,7.7269,0.15298
1,0,-0,-0,0.00056055,-1.0251e-05,-2.3622e-05,0,7.95,7.6545,-2.6214
-0,0.75258,-0.099934,-0.0056062,0.75258,-0.0056062,-0.099934,0.75921,14.627,7.7224,0.24857
2.8587e-24,0.58273,-0.00076403,-0.0085314,0.58273,-0.0085314,-0.00076403,0.58279,9.9375,7.7221,0.24313
