"RegionId","Points:0","Points:1","Points:2"
0,7.7007,0.27794,3.6885
0,7.7254,0.27845,3.693
0,7.7438,0.27883,3.6962
0,7.7634,0.27926,3.6996
0,7.7718,0.27944,3.701
0,7.7969,0.28001,3.7051
0,7.8213,0.28059,3.7089
0,7.8455,0.28119,3.7126
0,7.8687,0.2817,3.716
0,7.8781,0.28192,3.7173
0,7.9023,0.28249,3.7206
0,7.9264,0.28308,3.7237
0,7.9504,0.2837,3.7267
0,7.9743,0.28434,3.7296
0,7.9982,0.285,3.7324
0,8.0097,0.28533,3.7337
0,8.0334,0.28604,3.7362
0,8.0428,0.28631,3.7372
0,8.0513,0.28653,3.7382
0,8.0747,0.28716,3.7406
0,8.0955,0.28774,3.7427
0,8.1187,0.28842,3.7451
0,8.1419,0.28912,3.7474
0,8.1649,0.28986,3.7497
0,8.1879,0.29062,3.752
0,8.2109,0.29138,3.7543
0,8.2281,0.29193,3.7561
0,8.2509,0.29257,3.7584
0,8.2736,0.29305,3.7607
0,8.2962,0.2933,3.7628
0,8.3188,0.29334,3.7648
0,8.3412,0.29324,3.7666
0,8.3635,0.29304,3.7677
0,8.3858,0.29281,3.7684
0,8.4083,0.29259,3.7682
0,8.4302,0.29243,3.7674
0,8.4407,0.29239,3.7668
0,8.4627,0.29233,3.7654
0,8.4847,0.29239,3.7641
0,8.5068,0.29254,3.7628
0,8.5287,0.29273,3.7616
0,8.5506,0.29296,3.7606
0,8.5726,0.29322,3.7597
0,8.5928,0.29347,3.7591
0,8.6145,0.29371,3.7586
0,8.6363,0.29391,3.7582
0,8.6579,0.29403,3.7579
0,8.6796,0.29407,3.7577
0,8.7012,0.29402,3.7574
0,8.7229,0.29388,3.7571
0,8.7445,0.29367,3.7566
0,8.7662,0.29341,3.7558
0,8.7878,0.29313,3.7549
0,8.8094,0.29286,3.7536
0,8.831,0.2926,3.7521
0,8.8526,0.29238,3.7504
0,8.8742,0.29224,3.7486
0,8.8957,0.29214,3.7467
0,8.9173,0.29207,3.7449
0,8.934,0.29203,3.7435
0,8.9556,0.292,3.7418
0,8.9772,0.29199,3.7402
0,8.9988,0.29199,3.7387
0,9.0204,0.29198,3.7373
0,9.042,0.29192,3.7359
0,9.0636,0.29184,3.7346
0,9.0852,0.29171,3.7332
0,9.1002,0.29162,3.7323
0,9.1218,0.29145,3.7308
0,9.1434,0.29125,3.7293
0,9.1558,0.29114,3.7284
0,9.1774,0.29092,3.7267
0,9.199,0.2907,3.725
0,9.2205,0.29048,3.7231
0,9.2421,0.29027,3.7211
0,9.2637,0.29005,3.7192
0,9.2852,0.28984,3.7172
0,9.3068,0.28963,3.7151
0,9.3283,0.28938,3.7131
0,9.3499,0.28913,3.7111
0,9.3714,0.28885,3.7091
0,9.393,0.28854,3.7071
0,9.4146,0.28822,3.7051
0,9.4361,0.28786,3.7031
0,9.4577,0.28749,3.7011
0,9.4778,0.2871,3.6992
0,9.4993,0.28667,3.6971
0,9.5209,0.28621,3.695
0,9.5424,0.28573,3.6928
0,9.5639,0.28522,3.6906
0,9.5855,0.28462,3.6883
0,9.607,0.28398,3.686
0,9.6271,0.28337,3.6837
0,9.6486,0.28269,3.6814
0,9.6701,0.28199,3.679
0,9.6916,0.28127,3.6766
0,9.7131,0.28053,3.6742
0,9.7346,0.27979,3.6718
0,9.7561,0.27902,3.6695
0,9.7776,0.27825,3.6671
0,9.7991,0.27746,3.6648
0,9.8206,0.27657,3.6624
0,9.8421,0.27565,3.66
0,9.8636,0.27474,3.6576
0,9.8851,0.27382,3.6551
0,9.9066,0.27289,3.6527
0,9.9281,0.27195,3.6502
0,9.9496,0.27099,3.6477
0,9.9711,0.27003,3.6453
0,9.9926,0.26906,3.6428
0,10.014,0.26808,3.6404
0,10.036,0.26701,3.6379
0,10.057,0.26593,3.6354
0,10.079,0.26484,3.6329
0,10.1,0.26376,3.6305
0,10.121,0.26267,3.628
0,10.143,0.26159,3.6256
